target,language,time
docker,go,0.3364
docker,go,0.3465
docker,go,0.3476
docker,go,0.3935
docker,go,0.3237
docker,go,0.3491
docker,go,0.3407
docker,go,0.4065
docker,go,0.3318
docker,go,0.3617
docker,go,0.3726
docker,go,0.3693
docker,go,0.3430
docker,go,0.3758
docker,go,0.3477
docker,go,0.3674
docker,go,0.3760
docker,go,0.3387
docker,go,0.3758
docker,go,0.3727
docker,go,0.3778
docker,go,0.3695
docker,go,0.3737
docker,go,0.3786
docker,go,0.3568
docker,go,0.3808
docker,go,0.3714
docker,go,0.3598
docker,go,0.3546
docker,go,0.3720
docker,go,0.3536
docker,go,0.3706
docker,go,0.3620
docker,go,0.3563
docker,go,0.3550
docker,go,0.3696
docker,go,0.3494
docker,go,0.3434
docker,go,0.3729
docker,go,0.3662
docker,go,0.3695
docker,go,0.3608
docker,go,0.3398
docker,go,0.3674
docker,go,0.3523
docker,go,0.3561
docker,go,0.3722
docker,go,0.3477
docker,go,0.3013
docker,go,0.3290
docker,go,0.3545
docker,go,0.3511
docker,go,0.3700
docker,go,0.3702
docker,go,0.3785
docker,go,0.3747
docker,go,0.3646
docker,go,0.3430
docker,go,0.3641
docker,go,0.3448
docker,go,0.3699
docker,go,0.3459
docker,go,0.3639
docker,go,0.3549
docker,go,0.3765
docker,go,0.3692
docker,go,0.3531
docker,go,0.3530
docker,go,0.3964
docker,go,0.3701
docker,go,0.3607
docker,go,0.3702
docker,go,0.3486
docker,go,0.3711
docker,go,0.3051
docker,go,0.3584
docker,go,0.4001
docker,go,0.3782
docker,go,0.3555
docker,go,0.3596
docker,go,0.3620
docker,go,0.3434
docker,go,0.3556
docker,go,0.3149
docker,go,0.3628
docker,go,0.3398
docker,go,0.3646
docker,go,0.3211
docker,go,0.3288
docker,go,0.3798
docker,go,0.3645
docker,go,0.3873
docker,go,0.3326
docker,go,0.3878
docker,go,0.3987
docker,go,0.3686
docker,go,0.3737
docker,go,0.3718
docker,go,0.3539
docker,go,0.3610
docker,node,0.4190
docker,node,0.3493
docker,node,0.3820
docker,node,0.4267
docker,node,0.4044
docker,node,0.3752
docker,node,0.3690
docker,node,0.4274
docker,node,0.3827
docker,node,0.3796
docker,node,0.3825
docker,node,0.3332
docker,node,0.3749
docker,node,0.3778
docker,node,0.4117
docker,node,0.3723
docker,node,0.4076
docker,node,0.3631
docker,node,0.3992
docker,node,0.3924
docker,node,0.4255
docker,node,0.3787
docker,node,0.3860
docker,node,0.3841
docker,node,0.3649
docker,node,0.3767
docker,node,0.3955
docker,node,0.3848
docker,node,0.3749
docker,node,0.3571
docker,node,0.3942
docker,node,0.3851
docker,node,0.4001
docker,node,0.3730
docker,node,0.3971
docker,node,0.4011
docker,node,0.3499
docker,node,0.3789
docker,node,0.4096
docker,node,0.3428
